model_name,feature_config,combination,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,training_time,prediction_time,best_cv_score
Random_Forest,Combined,Random_Forest_Combined,0.766260162601626,0.7876331755815257,0.766260162601626,0.7555715617491282,0.7648379026088005,0.7488713771608508,0.7349408000970616,38.14536166191101,0.41386890411376953,0.7085075549280416
Random_Forest,Count,Random_Forest_Count,0.7621951219512195,0.7847305353563377,0.7621951219512195,0.7510286029694871,0.7857329961183345,0.7698280885780885,0.7525020256360013,31.629212617874146,0.3296849727630615,0.7090973274596423
Logistic_Regression,Count,Logistic_Regression_Count,0.741869918699187,0.7694186967052821,0.741869918699187,0.7405102287331133,0.759948139372918,0.7357810331261658,0.7293491919507465,299.31953167915344,0.002877473831176758,0.727754848592869
Random_Forest,TF-IDF,Random_Forest_TF-IDF,0.7520325203252033,0.7745342727210506,0.7520325203252033,0.7397435647959206,0.7441705088887204,0.736842852329578,0.7174582062102842,44.37525510787964,0.28196215629577637,0.6971666412989076
Logistic_Regression,SVD,Logistic_Regression_SVD,0.733739837398374,0.769838850174216,0.733739837398374,0.7332501155851856,0.7620759201116344,0.7461455954759526,0.7332115112126721,404.31730794906616,0.0635528564453125,0.7087312978032859
Logistic_Regression,TF-IDF,Logistic_Regression_TF-IDF,0.733739837398374,0.7627065402980037,0.733739837398374,0.732885555599308,0.7461066958834816,0.738407277246563,0.7242591213202284,133.6813416481018,0.009032726287841797,0.7184890074321828
Linear_SVC,Count,Linear_SVC_Count,0.725609756097561,0.746832289210338,0.725609756097561,0.7221061217817509,0.7209227906596329,0.7144568394568396,0.6990139491837616,5.620624542236328,0.002856016159057617,0.728165995665477
Linear_SVC,SVD,Linear_SVC_SVD,0.7276422764227642,0.749457831012709,0.7276422764227642,0.7203568749245628,0.7334378011369161,0.7333198512402052,0.7130295996028648,88.38412976264954,0.002463817596435547,0.6996508662258364
Linear_SVC,TF-IDF,Linear_SVC_TF-IDF,0.7215447154471545,0.7458509309119065,0.7215447154471545,0.7162541495830383,0.7326264197945613,0.7280698161229133,0.7095094065080259,5.813683032989502,0.003880739212036133,0.7260872365696972
Random_Forest,SVD,Random_Forest_SVD,0.6869918699186992,0.7315260016300188,0.6869918699186992,0.6862577320281664,0.7324011335303352,0.7142038764806621,0.7042312644585891,403.6726429462433,0.5214123725891113,0.654615719713903
Decision_Tree,Combined,Decision_Tree_Combined,0.6849593495934959,0.7216965199434713,0.6849593495934959,0.6822227528264897,0.6981869106869107,0.7099898599898601,0.6805417147989051,13.040598392486572,0.00193023681640625,0.6084583917391789
Decision_Tree,TF-IDF,Decision_Tree_TF-IDF,0.6849593495934959,0.7175879027250978,0.6849593495934959,0.6819786739311438,0.7165655896682682,0.7074374534195963,0.6931735895530292,13.952354669570923,0.002304553985595703,0.6191227682286478
Decision_Tree,Count,Decision_Tree_Count,0.676829268292683,0.7028785915981038,0.676829268292683,0.6719785471588229,0.6753512082459452,0.6737644665276245,0.6533374319129468,4.442456483840942,0.0022974014282226562,0.6319921637789971
Multinomial_NB,Count,Multinomial_NB_Count,0.6585365853658537,0.678163249649129,0.6585365853658537,0.6433447498074545,0.6512842363084744,0.6609522056890478,0.6295717130681106,0.38193464279174805,0.008105754852294922,0.6170900913510909
Multinomial_NB,TF-IDF,Multinomial_NB_TF-IDF,0.6463414634146342,0.6570688006663615,0.6463414634146342,0.6362818362952355,0.6541741935547246,0.6664152710612888,0.6436274106582822,0.6758582592010498,0.00937032699584961,0.6176125459675063
Multinomial_NB,Combined,Multinomial_NB_Combined,0.6382113821138211,0.664329268292683,0.6382113821138211,0.6328582495614642,0.6841624149659865,0.6794442908282193,0.6606397518016861,0.49257588386535645,0.007859468460083008,0.595132632367508
KNN,SVD,KNN_SVD,0.6341463414634146,0.6712296278831429,0.6341463414634146,0.6316058686938709,0.6479913342235856,0.6483378690275241,0.6276719727527432,3.169081687927246,1.652613878250122,0.6100314852524665
KNN,TF-IDF,KNN_TF-IDF,0.6382113821138211,0.6408890341817172,0.6382113821138211,0.6237700988193209,0.643712285747684,0.6661700148425812,0.6373363980844828,1.7442033290863037,0.20481586456298828,0.6087807818123455
KNN,Count,KNN_Count,0.5447154471544715,0.6055535161100034,0.5447154471544715,0.5377052513509323,0.622838909583994,0.5875825501931697,0.5766290464405848,2.570258617401123,0.15493988990783691,0.5196064877345924
Decision_Tree,SVD,Decision_Tree_SVD,0.45121951219512196,0.5206018259730598,0.45121951219512196,0.4578766254743801,0.5259085213032582,0.4910475489422858,0.481558700919917,107.93282008171082,0.0018627643585205078,0.4082893057085161
